Job Result,Job Creation Time,Job Completion Time,Product Name,Component Being updated,Customer ID
CANCELLED,10/3/2019 0:25,10/3/2019 0:38,Product 1,Component 5,34494
SUCCESS,10/3/2019 0:25,10/3/2019 0:37,Product 1,Component 5,99549
SUCCESS,10/3/2019 0:25,10/3/2019 0:38,Product 1,Component 5,75841
SUCCESS,10/3/2019 0:25,10/3/2019 0:35,Product 1,Component 5,77983
SUCCESS,10/3/2019 0:24,10/3/2019 0:37,Product 1,Component 5,34494
SUCCESS,10/3/2019 0:24,10/3/2019 0:36,Product 1,Component 5,99694
SUCCESS,10/3/2019 0:24,10/3/2019 0:34,Product 1,Component 5,84180
SUCCESS,10/3/2019 0:24,10/3/2019 0:38,Product 1,Component 5,99900
SUCCESS,10/3/2019 0:24,10/3/2019 0:31,Product 1,Component 5,24349
CANCELLED,10/3/2019 0:24,10/3/2019 0:35,Product 1,Component 5,21083
SUCCESS,10/3/2019 0:24,10/3/2019 0:35,Product 1,Component 5,37622
SUCCESS,10/3/2019 0:24,10/3/2019 0:33,Product 1,Component 5,83264
SUCCESS,10/3/2019 0:24,10/3/2019 0:35,Product 1,Component 5,83264
SUCCESS,10/3/2019 0:24,10/3/2019 0:36,Product 1,Component 5,22719
SUCCESS,10/3/2019 0:24,10/3/2019 0:35,Product 1,Component 5,24349
SUCCESS,10/3/2019 0:24,10/3/2019 0:34,Product 1,Component 5,77983
SUCCESS,10/3/2019 0:24,10/3/2019 0:31,Product 1,Component 5,85943
SUCCESS,10/3/2019 0:24,10/3/2019 0:35,Product 1,Component 5,85074
SUCCESS,10/3/2019 0:23,10/3/2019 0:30,Product 1,Component 5,99900
SUCCESS,10/3/2019 0:23,10/3/2019 0:31,Product 1,Component 5,39170
SUCCESS,10/3/2019 0:23,10/3/2019 0:30,Product 1,Component 5,76923
SUCCESS,10/3/2019 0:23,10/3/2019 0:32,Product 1,Component 5,99694
SUCCESS,10/3/2019 0:23,10/3/2019 0:31,Product 1,Component 5,76923
SUCCESS,10/3/2019 0:23,10/3/2019 0:31,Product 1,Component 5,39170
SUCCESS,10/3/2019 0:23,10/3/2019 0:34,Product 1,Component 5,21083
SUCCESS,10/3/2019 0:23,10/3/2019 0:30,Product 1,Component 5,75841
SUCCESS,10/3/2019 0:23,10/3/2019 0:30,Product 1,Component 5,22719
SUCCESS,10/3/2019 0:23,10/3/2019 0:32,Product 1,Component 5,99376
SUCCESS,10/3/2019 0:22,10/3/2019 0:28,Product 1,Component 5,25971
SUCCESS,10/3/2019 0:22,10/3/2019 0:28,Product 1,Component 5,37622
SUCCESS,10/3/2019 0:22,10/3/2019 0:31,Product 1,Component 5,99811
SUCCESS,10/3/2019 0:22,10/3/2019 0:30,Product 1,Component 5,75841
SUCCESS,10/3/2019 0:22,10/3/2019 0:30,Product 1,Component 5,75841
SUCCESS,10/3/2019 0:22,10/3/2019 0:26,Product 1,Component 5,84180
SUCCESS,10/3/2019 0:18,10/3/2019 0:24,Product 1,Component 5,86788
SUCCESS,10/3/2019 0:15,10/3/2019 0:23,Product 1,Component 5,34494
SUCCESS,10/3/2019 0:10,10/3/2019 0:16,Product 1,Component 5,36063
SUCCESS,10/3/2019 0:06,10/3/2019 0:17,Product 1,Component 5,42233
SUCCESS,10/3/2019 0:04,10/3/2019 0:14,Product 1,Component 5,73613
FAILURE,10/3/2019 0:04,10/3/2019 0:23,Product 1,Component 5,83264
FAILURE,10/3/2019 0:04,10/3/2019 0:25,Product 1,Component 5,77983
SUCCESS,10/3/2019 0:04,10/3/2019 0:17,Product 1,Component 5,99549
SUCCESS,10/3/2019 0:04,10/3/2019 0:17,Product 1,Component 5,73613
SUCCESS,10/3/2019 0:04,10/3/2019 0:15,Product 1,Component 5,37622
SUCCESS,10/3/2019 0:04,10/3/2019 0:17,Product 1,Component 5,74737
SUCCESS,10/3/2019 0:03,10/3/2019 0:14,Product 1,Component 5,85943
SUCCESS,10/3/2019 0:03,10/3/2019 0:16,Product 1,Component 5,83264
FAILURE,10/3/2019 0:03,10/3/2019 0:23,Product 1,Component 5,24349
SUCCESS,10/3/2019 0:03,10/3/2019 0:14,Product 1,Component 5,75841
SUCCESS,10/3/2019 0:03,10/3/2019 0:12,Product 1,Component 5,85943
CANCELLED,10/3/2019 0:03,10/3/2019 0:15,Product 1,Component 5,34494
SUCCESS,10/3/2019 0:03,10/3/2019 0:14,Product 1,Component 5,75841
SUCCESS,10/3/2019 0:03,10/3/2019 0:14,Product 1,Component 5,19441
SUCCESS,10/3/2019 0:03,10/3/2019 0:14,Product 1,Component 5,19441
SUCCESS,10/3/2019 0:03,10/3/2019 0:17,Product 1,Component 5,22719
SUCCESS,10/3/2019 0:03,10/3/2019 0:12,Product 1,Component 5,74737
SUCCESS,10/3/2019 0:03,10/3/2019 0:12,Product 1,Component 5,60422
SUCCESS,10/3/2019 0:03,10/3/2019 0:13,Product 1,Component 5,19441
SUCCESS,10/3/2019 0:03,10/3/2019 0:13,Product 1,Component 5,60422
SUCCESS,10/3/2019 0:03,10/3/2019 0:12,Product 1,Component 5,76923
SUCCESS,10/3/2019 0:03,10/3/2019 0:17,Product 1,Component 5,42233
SUCCESS,10/3/2019 0:03,10/3/2019 0:12,Product 1,Component 5,84180
FAILURE,10/3/2019 0:02,10/3/2019 0:18,Product 1,Component 5,86788
SUCCESS,10/3/2019 0:02,10/3/2019 0:08,Product 1,Component 5,39170
SUCCESS,10/3/2019 0:02,10/3/2019 0:12,Product 1,Component 5,19441
SUCCESS,10/3/2019 0:02,10/3/2019 0:07,Product 1,Component 5,83264
SUCCESS,10/3/2019 0:02,10/3/2019 0:12,Product 1,Component 5,99900
CANCELLED,10/3/2019 0:00,10/3/2019 0:09,Product 1,Component 5,36063
SUCCESS,10/3/2019 0:00,10/3/2019 0:06,Product 1,Component 5,86788
SUCCESS,10/3/2019 0:00,10/3/2019 0:06,Product 1,Component 5,99549
SUCCESS,10/3/2019 0:00,10/3/2019 0:06,Product 1,Component 5,99549
SUCCESS,10/3/2019 0:00,10/3/2019 0:05,Product 1,Component 5,39170
SUCCESS,10/2/2019 19:46,10/2/2019 19:53,Product 1,Component 5,65501
SUCCESS,10/2/2019 19:46,10/2/2019 19:53,Product 1,Component 5,75510
SUCCESS,10/2/2019 19:46,10/2/2019 19:51,Product 1,Component 5,98091
SUCCESS,10/2/2019 19:46,10/2/2019 19:53,Product 1,Component 5,97064
SUCCESS,10/2/2019 19:46,10/2/2019 19:53,Product 1,Component 5,81355
SUCCESS,10/2/2019 19:46,10/2/2019 19:52,Product 1,Component 5,78520
SUCCESS,10/2/2019 19:46,10/2/2019 19:52,Product 1,Component 5,98091
SUCCESS,10/2/2019 19:45,10/2/2019 19:53,Product 1,Component 5,92697
SUCCESS,10/2/2019 19:45,10/2/2019 19:50,Product 1,Component 5,98899
SUCCESS,10/2/2019 19:45,10/2/2019 19:52,Product 1,Component 5,98091
SUCCESS,10/2/2019 19:45,10/2/2019 19:53,Product 1,Component 5,98899
SUCCESS,10/2/2019 19:45,10/2/2019 19:51,Product 1,Component 5,88748
SUCCESS,10/2/2019 19:45,10/2/2019 19:53,Product 1,Component 5,98899
SUCCESS,10/2/2019 19:45,10/2/2019 19:52,Product 1,Component 5,81355
SUCCESS,10/2/2019 19:45,10/2/2019 19:50,Product 1,Component 5,97064
SUCCESS,10/2/2019 19:45,10/2/2019 19:50,Product 1,Component 5,50154
SUCCESS,10/2/2019 19:45,10/2/2019 19:50,Product 1,Component 5,78520
SUCCESS,10/2/2019 19:45,10/2/2019 19:50,Product 1,Component 5,68994
SUCCESS,10/2/2019 19:45,10/2/2019 19:50,Product 1,Component 5,92697
SUCCESS,10/2/2019 19:45,10/2/2019 19:50,Product 1,Component 5,95821
SUCCESS,10/2/2019 19:45,10/2/2019 19:49,Product 1,Component 5,37441
SUCCESS,10/2/2019 19:44,10/2/2019 19:50,Product 1,Component 5,90824
FAILURE,10/2/2019 19:05,10/2/2019 19:18,Product 1,Component 5,97064
FAILURE,10/2/2019 19:04,10/2/2019 19:17,Product 1,Component 5,78520
FAILURE,10/2/2019 19:04,10/2/2019 19:17,Product 1,Component 5,90824
FAILURE,10/2/2019 19:03,10/2/2019 19:16,Product 1,Component 5,98091
FAILURE,10/2/2019 19:03,10/2/2019 19:16,Product 1,Component 5,68994
FAILURE,10/2/2019 19:03,10/2/2019 19:16,Product 1,Component 5,75510
FAILURE,10/2/2019 19:02,10/2/2019 19:16,Product 1,Component 5,92697
FAILURE,10/2/2019 19:02,10/2/2019 19:16,Product 1,Component 5,81355
FAILURE,10/2/2019 19:02,10/2/2019 19:16,Product 1,Component 5,98899
FAILURE,10/2/2019 19:02,10/2/2019 19:16,Product 1,Component 5,81355
FAILURE,10/2/2019 19:02,10/2/2019 19:15,Product 1,Component 5,98091
FAILURE,10/2/2019 19:02,10/2/2019 19:15,Product 1,Component 5,97064
FAILURE,10/2/2019 19:02,10/2/2019 19:15,Product 1,Component 5,98899
FAILURE,10/2/2019 19:02,10/2/2019 19:15,Product 1,Component 5,65501
FAILURE,10/2/2019 19:02,10/2/2019 19:15,Product 1,Component 5,98899
FAILURE,10/2/2019 19:02,10/2/2019 19:15,Product 1,Component 5,50154
FAILURE,10/2/2019 19:02,10/2/2019 19:15,Product 1,Component 5,92697
FAILURE,10/2/2019 19:02,10/2/2019 19:15,Product 1,Component 5,37441
FAILURE,10/2/2019 19:02,10/2/2019 19:15,Product 1,Component 5,95821
FAILURE,10/2/2019 19:02,10/2/2019 19:15,Product 1,Component 5,98091
FAILURE,10/2/2019 19:02,10/2/2019 19:15,Product 1,Component 5,88748
FAILURE,10/2/2019 19:02,10/2/2019 19:15,Product 1,Component 5,78520
SUCCESS,10/2/2019 15:36,10/2/2019 16:03,Product 2,Component 1,66717
SUCCESS,10/2/2019 15:36,10/2/2019 16:06,Product 2,Component 1,38946
SUCCESS,10/2/2019 15:35,10/2/2019 16:07,Product 2,Component 1,75619
SUCCESS,10/2/2019 15:35,10/2/2019 16:04,Product 2,Component 1,21006
SUCCESS,10/2/2019 15:35,10/2/2019 16:06,Product 2,Component 1,21006
SUCCESS,10/2/2019 15:35,10/2/2019 16:07,Product 2,Component 1,79488
SUCCESS,10/2/2019 15:35,10/2/2019 16:10,Product 2,Component 1,26959
SUCCESS,10/1/2019 1:34,10/1/2019 1:39,Product 3,"Component 2,Component 3,Component 4",88643
SUCCESS,10/1/2019 1:27,10/1/2019 2:07,Product 2,"Component 1,Component 2,Component 3,Component 4",61301
SUCCESS,10/1/2019 1:27,10/1/2019 2:02,Product 2,"Component 1,Component 2,Component 3,Component 4",98071
SUCCESS,10/1/2019 1:26,10/1/2019 2:06,Product 2,"Component 1,Component 2,Component 3,Component 4",1811
SUCCESS,10/1/2019 1:24,10/1/2019 2:02,Product 2,"Component 1,Component 2,Component 3,Component 4",99438
SUCCESS,10/1/2019 1:21,10/1/2019 2:02,Product 2,"Component 1,Component 2,Component 3,Component 4",70809
FAILURE,10/1/2019 1:08,10/1/2019 1:31,Product 3,"Component 1,Component 2,Component 3,Component 4",88643
SUCCESS,10/1/2019 0:34,10/1/2019 1:13,Product 2,"Component 1,Component 2,Component 3,Component 4",99988
SUCCESS,10/1/2019 0:18,10/1/2019 0:59,Product 2,"Component 1,Component 2,Component 3,Component 4",78836
SUCCESS,10/1/2019 0:16,10/1/2019 0:46,Product 2,"Component 1,Component 2,Component 3,Component 4",26324
SUCCESS,10/1/2019 0:15,10/1/2019 1:02,Product 2,"Component 1,Component 2,Component 3,Component 4",98990
SUCCESS,10/1/2019 0:15,10/1/2019 0:53,Product 2,"Component 1,Component 2,Component 3,Component 4",56907
SUCCESS,10/1/2019 0:15,10/1/2019 0:53,Product 2,"Component 1,Component 2,Component 3,Component 4",61301
CANCELLED,10/1/2019 0:15,10/1/2019 1:25,Product 2,"Component 1,Component 2,Component 3,Component 4",1811
SUCCESS,10/1/2019 0:15,10/1/2019 0:51,Product 2,"Component 1,Component 2,Component 3,Component 4",56907
SUCCESS,10/1/2019 0:15,10/1/2019 0:54,Product 2,"Component 1,Component 2,Component 3,Component 4",85990
SUCCESS,10/1/2019 0:14,10/1/2019 0:54,Product 2,"Component 1,Component 2,Component 3,Component 4",88643
SUCCESS,10/1/2019 0:14,10/1/2019 0:52,Product 2,"Component 1,Component 2,Component 3,Component 4",1811
SUCCESS,10/1/2019 0:14,10/1/2019 0:49,Product 2,"Component 1,Component 2,Component 3,Component 4",64122
SUCCESS,10/1/2019 0:14,10/1/2019 0:49,Product 2,"Component 1,Component 2,Component 3,Component 4",98990
SUCCESS,10/1/2019 0:14,10/1/2019 0:56,Product 2,"Component 1,Component 2,Component 3,Component 4",1811
SUCCESS,10/1/2019 0:14,10/1/2019 0:52,Product 2,"Component 1,Component 2,Component 3,Component 4",85990
CANCELLED,10/1/2019 0:14,10/1/2019 1:25,Product 2,"Component 1,Component 2,Component 3,Component 4",98071
SUCCESS,10/1/2019 0:14,10/1/2019 0:52,Product 2,"Component 1,Component 2,Component 3,Component 4",98990
SUCCESS,10/1/2019 0:14,10/1/2019 0:48,Product 2,"Component 1,Component 2,Component 3,Component 4",31540
SUCCESS,10/1/2019 0:14,10/1/2019 0:50,Product 2,"Component 1,Component 2,Component 3,Component 4",98071
SUCCESS,10/1/2019 0:14,10/1/2019 0:55,Product 2,"Component 1,Component 2,Component 3,Component 4",98071
SUCCESS,10/1/2019 0:14,10/1/2019 0:48,Product 2,"Component 1,Component 2,Component 3,Component 4",78836
SUCCESS,10/1/2019 0:13,10/1/2019 1:13,Product 2,"Component 1,Component 2,Component 3,Component 4",64122
SUCCESS,10/1/2019 0:13,10/1/2019 0:53,Product 2,"Component 1,Component 2,Component 3,Component 4",61301
SUCCESS,10/1/2019 0:13,10/1/2019 0:51,Product 2,"Component 1,Component 2,Component 3,Component 4",1811
SUCCESS,10/1/2019 0:13,10/1/2019 0:47,Product 2,"Component 1,Component 2,Component 3,Component 4",22814
CANCELLED,10/1/2019 0:13,10/1/2019 1:25,Product 2,"Component 1,Component 2,Component 3,Component 4",61301
FAILURE,10/1/2019 0:13,10/1/2019 0:17,Product 2,"Component 1,Component 2,Component 3,Component 4",1811
SUCCESS,10/1/2019 0:13,10/1/2019 0:48,Product 2,"Component 1,Component 2,Component 3,Component 4",97299
SUCCESS,10/1/2019 0:13,10/1/2019 0:51,Product 2,"Component 1,Component 2,Component 3,Component 4",97299
SUCCESS,10/1/2019 0:13,10/1/2019 1:22,Product 2,"Component 1,Component 2,Component 3,Component 4",61301
SUCCESS,10/1/2019 0:13,10/1/2019 0:49,Product 2,"Component 1,Component 2,Component 3,Component 4",90260
FAILURE,10/1/2019 0:13,10/1/2019 1:21,Product 2,"Component 1,Component 2,Component 3,Component 4",70809
SUCCESS,10/1/2019 0:13,10/1/2019 0:52,Product 2,"Component 1,Component 2,Component 3,Component 4",90260
FAILURE,10/1/2019 0:13,10/1/2019 0:28,Product 2,"Component 1,Component 2,Component 3,Component 4",99988
FAILURE,10/1/2019 0:13,10/1/2019 0:15,Product 2,"Component 1,Component 2,Component 3,Component 4",61301
SUCCESS,10/1/2019 0:12,10/1/2019 0:48,Product 2,"Component 1,Component 2,Component 3,Component 4",90260
SUCCESS,10/1/2019 0:12,10/1/2019 0:50,Product 2,"Component 1,Component 2,Component 3,Component 4",97299
SUCCESS,10/1/2019 0:12,10/1/2019 0:50,Product 2,"Component 1,Component 2,Component 3,Component 4",53892
SUCCESS,10/1/2019 0:12,10/1/2019 0:51,Product 2,"Component 1,Component 2,Component 3,Component 4",94807
SUCCESS,10/1/2019 0:12,10/1/2019 0:48,Product 2,"Component 1,Component 2,Component 3,Component 4",84085
SUCCESS,10/1/2019 0:12,10/1/2019 0:48,Product 2,"Component 1,Component 2,Component 3,Component 4",43299
CANCELLED,10/1/2019 0:12,10/1/2019 1:24,Product 2,"Component 1,Component 2,Component 3,Component 4",99438
SUCCESS,10/1/2019 0:12,10/1/2019 0:53,Product 2,"Component 1,Component 2,Component 3,Component 4",99988
SUCCESS,10/1/2019 0:12,10/1/2019 0:16,Product 2,"Component 1,Component 2,Component 3,Component 4",78836
SUCCESS,10/1/2019 0:12,10/1/2019 0:52,Product 2,"Component 1,Component 2,Component 3,Component 4",70809
SUCCESS,9/30/2019 14:17,9/30/2019 14:51,Product 1,Component 1,88684
SUCCESS,9/27/2019 23:46,9/27/2019 23:51,Product 1,Component 1,21083
CANCELLED,9/27/2019 23:09,9/27/2019 23:46,Product 1,Component 1,21083
SUCCESS,9/27/2019 0:02,9/27/2019 0:48,Product 4 ,"Component 1,Component 2,Component 3,Component 4",42143
SUCCESS,9/27/2019 0:02,9/27/2019 0:43,Product 4 ,"Component 1,Component 2,Component 3,Component 4",76746
SUCCESS,9/27/2019 0:02,9/27/2019 0:44,Product 4 ,"Component 1,Component 2,Component 3,Component 4",42143
SUCCESS,9/27/2019 0:02,9/27/2019 0:43,Product 4 ,"Component 1,Component 2,Component 3,Component 4",78716
SUCCESS,9/27/2019 0:02,9/27/2019 0:47,Product 4 ,"Component 1,Component 2,Component 3,Component 4",43017
SUCCESS,9/27/2019 0:02,9/27/2019 0:43,Product 4 ,"Component 1,Component 2,Component 3,Component 4",45823
SUCCESS,9/27/2019 0:02,9/27/2019 0:46,Product 4 ,"Component 1,Component 2,Component 3,Component 4",79308
SUCCESS,9/27/2019 0:02,9/27/2019 0:48,Product 4 ,"Component 1,Component 2,Component 3,Component 4",47738
FAILURE,9/26/2019 20:55,9/26/2019 21:35,Product 3,"Component 1,Component 2,Component 3,Component 4",88643
FAILURE,9/26/2019 20:04,9/26/2019 20:10,Product 3,"Component 1,Component 2,Component 3,Component 4",88643
SUCCESS,9/26/2019 19:54,9/26/2019 20:22,Product 4 ,"Component 1,Component 2,Component 3,Component 4",77806
SUCCESS,9/26/2019 19:54,9/26/2019 20:24,Product 4 ,"Component 1,Component 2,Component 3,Component 4",52402
SUCCESS,9/26/2019 19:54,9/26/2019 20:23,Product 4 ,"Component 1,Component 2,Component 3,Component 4",72214
SUCCESS,9/26/2019 19:54,9/26/2019 20:23,Product 4 ,"Component 1,Component 2,Component 3,Component 4",77806
SUCCESS,9/26/2019 19:54,9/26/2019 20:22,Product 4 ,"Component 1,Component 2,Component 3,Component 4",21278
SUCCESS,9/26/2019 19:54,9/26/2019 20:20,Product 4 ,"Component 1,Component 2,Component 3,Component 4",91149
SUCCESS,9/26/2019 19:54,9/26/2019 20:21,Product 4 ,"Component 1,Component 2,Component 3,Component 4",4089
FAILURE,9/26/2019 19:46,9/26/2019 19:48,Product 1,"Component 1,Component 2,Component 3,Component 4",77806
FAILURE,9/26/2019 19:46,9/26/2019 19:48,Product 1,"Component 1,Component 2,Component 3,Component 4",72214
FAILURE,9/26/2019 19:46,9/26/2019 19:48,Product 1,"Component 1,Component 2,Component 3,Component 4",91149
FAILURE,9/26/2019 19:46,9/26/2019 19:49,Product 1,"Component 1,Component 2,Component 3,Component 4",21278
FAILURE,9/26/2019 19:45,9/26/2019 19:48,Product 1,"Component 1,Component 2,Component 3,Component 4",4089
